word,profane,offensive,sexual,mean
titer                   ,  0,  0, -2,  0
tithe                   ,  0,  0, -2,  0
title                   ,  0,  0, -2,  0
titre                   ,  0,  0, -2,  0
titty                   ,  0,  0, -2,  0
titus                   ,  0,  0, -2,  0
trass                   , -1,  0,  0,  0
tucum                   ,  0,  0, -2,  0
twank                   ,  0,  0, -2,  0
umbra                   ,  0,  0, -1,  0
unsex                   ,  0,  0, -1,  0
upped                   ,  0,  0, -1,  0
upper                   ,  0,  0, -1,  0
uppop                   ,  0,  0, -1,  0
vulva                   ,  0,  0,  2,  0
warse                   , -1,  0,  0,  0
whore                   ,  0,  2,  2,  0
wigga                   ,  1,  2,  0,  0
zabra                   ,  0,  0, -1,  0
zebra                   ,  0,  0, -1,  0
zippy                   ,  0,  0, -1,  0
abclit                  ,  0,  0, -2,  0
abcrap                  , -1,  0,  0,  0
abobra                  ,  0,  0, -1,  0
abrase                  ,  0,  0, -1,  0
abraum                  ,  0,  0, -1,  0
abrazo                  ,  0,  0, -1,  0
acclit                  ,  0,  0, -2,  0
accrap                  , -1,  0,  0,  0
achate                  ,  0,  0,  0, -1
acumen                  ,  0,  0, -2,  0
alcumy                  ,  0,  0, -2,  0
aleppo                  ,  0,  0, -1,  0
analab                  , -1,  0, -1,  0
analan                  , -1,  0, -1,  0
analap                  , -1,  0, -1,  0
analas                  , -1,  0, -1,  0
analat                  , -1,  0, -1,  0
analav                  , -1,  0, -1,  0
analaw                  , -1,  0, -1,  0
analay                  , -1,  0, -1,  0
analbs                  , -1,  0, -1,  0
analcd                  , -1,  0, -1,  0
analed                  , -1,  0, -1,  0
analee                  , -1,  0, -1,  0
analeg                  , -1,  0, -1,  0
analen                  , -1,  0, -1,  0
analeo                  , -1,  0, -1,  0
anales                  , -1,  0, -1,  0
analet                  , -1,  0, -1,  0
analeu                  , -1,  0, -1,  0
analib                  , -1,  0, -1,  0
analid                  , -1,  0, -1,  0
analie                  , -1,  0, -1,  0
analil                  , -1,  0, -1,  0
analip                  , -1,  0, -1,  0
analit                  , -1,  0, -1,  0
analiz                  , -1,  0, -1,  0
anallc                  , -1,  0, -1,  0
anallp                  , -1,  0, -1,  0
anally                  , -1,  0, -1,  0
analoc                  , -1,  0, -1,  0
analog                  , -1,  0, -1,  0
analol                  , -1,  0, -1,  0
analos                  , -1,  0, -1,  0
analot                  , -1,  0, -1,  0
analou                  , -1,  0, -1,  0
analow                  , -1,  0, -1,  0
analtd                  , -1,  0, -1,  0
analyt                  , -1,  0, -1,  0
anazip                  ,  0, -1,  0,  0
anicca                  , -1, -2,  0,  0
anusim                  , -1,  0,  0,  0
apissl                  , -1,  0,  0,  0
arclit                  ,  0,  0, -2,  0
arcrap                  , -1,  0,  0,  0
ardass                  , -1,  0,  0,  0
arseno                  , -1,  0,  0,  0
ashate                  ,  0,  0,  0, -1
aspunk                  ,  0,  0, -2,  0
assacu                  , -1,  0,  0,  0
assahy                  , -1,  0,  0,  0
assart                  , -1,  0,  0,  0
assary                  , -1,  0,  0,  0
assate                  , -1,  0,  0,  0
assaut                  , -1,  0,  0,  0
assbaa                  , -1,  0,  0,  0
assman                  , -1,  0,  0,  0
assoil                  , -1,  0,  0,  0
assoin                  , -1,  0,  0,  0
assort                  , -1,  0,  0,  0
assume                  , -1,  0,  0,  0
assurd                  , -1,  0,  0,  0
assure                  , -1,  0,  0,  0
assyth                  , -1,  0,  0,  0
badass                  , -1,  0,  0,  0
bagass                  , -1,  0,  0,  0
ballsy                  ,  0,  0, -1,  0
barbra                  ,  0,  0, -1,  0
bbclit                  ,  0,  0, -2,  0
bbcrap                  , -1,  0,  0,  0
bedamn                  , -1,  0,  0,  0
bedumb                  ,  0,  0,  0, -1
begass                  , -1,  0,  0,  0
biatch                  ,  0,  1,  1,  0
bichir                  ,  0, -1, -1,  0
bichos                  ,  0, -1, -1,  0
bisext                  ,  0,  0, -1,  0
bloody                  ,  1,  0,  0,  0
boclit                  ,  0,  0, -2,  0
bocrap                  , -1,  0,  0,  0
bollok                  ,  1,  0,  1,  0
bonera                  ,  0,  0, -2,  0
bonerp                  ,  0,  0, -2,  0
booboo                  ,  0,  0, -2,  0
braata                  ,  0,  0, -1,  0
bracon                  ,  0,  0, -1,  0
brahui                  ,  0,  0, -1,  0
braies                  ,  0,  0, -1,  0
braird                  ,  0,  0, -1,  0
brairo                  ,  0,  0, -1,  0
braise                  ,  0,  0, -1,  0
braize                  ,  0,  0, -1,  0
brakie                  ,  0,  0, -1,  0
brarow                  ,  0,  0, -1,  0
brasen                  ,  0,  0, -1,  0
brasil                  ,  0,  0, -1,  0
braula                  ,  0,  0, -1,  0
brauna                  ,  0,  0, -1,  0
brazil                  ,  0,  0, -1,  0
breast                  ,  0,  0,  1,  0
bugger                  ,  1,  0,  0,  0
buttab                  , -1,  0,  0,  0
buttag                  , -1,  0,  0,  0
buttal                  , -1,  0,  0,  0
buttan                  , -1,  0,  0,  0
buttap                  , -1,  0,  0,  0
buttar                  , -1,  0,  0,  0
buttax                  , -1,  0,  0,  0
buttba                  , -1,  0,  0,  0
buttcp                  , -1,  0,  0,  0
buttft                  , -1,  0,  0,  0
buttgp                  , -1,  0,  0,  0
butthe                  , -1,  0,  0,  0
butthu                  , -1,  0,  0,  0
butthy                  , -1,  0,  0,  0
buttie                  , -1,  0,  0,  0
buttil                  , -1,  0,  0,  0
buttim                  , -1,  0,  0,  0
buttin                  , -1,  0,  0,  0
buttip                  , -1,  0,  0,  0
buttle                  , -1,  0,  0,  0
buttmp                  , -1,  0,  0,  0
buttri                  , -1,  0,  0,  0
buttry                  , -1,  0,  0,  0
buttub                  , -1,  0,  0,  0
buttue                  , -1,  0,  0,  0
buttvs                  , -1,  0,  0,  0
buttwo                  , -1,  0,  0,  0
cacoon                  ,  0, -3,  0,  0
caecum                  ,  0,  0, -2,  0
canusa                  , -1,  0,  0,  0
canusb                  , -1,  0,  0,  0
canusc                  , -1,  0,  0,  0
canusd                  , -1,  0,  0,  0
canuse                  , -1,  0,  0,  0
canusr                  , -1,  0,  0,  0
chinky                  ,  0, -2,  0,  0
choarc                  ,  0, -2, -2,  0
choare                  ,  0, -2, -2,  0
choarg                  ,  0, -2, -2,  0
choarm                  ,  0, -2, -2,  0
choart                  ,  0, -2, -2,  0
chomod                  ,  0, -1, -1,  0
chomom                  ,  0, -1, -1,  0
chomon                  ,  0, -1, -1,  0
cippus                  ,  0,  0, -1,  0
circum                  ,  0,  0, -2,  0
clitch                  ,  0,  0, -2,  0
clithe                  ,  0,  0, -2,  0
clitia                  ,  0,  0, -2,  0
